,屈服强度,抗拉强度,延伸率,断面收缩率
0,1520.0,1590.0,8.0,50.0
1,1240.0,1330.0,16.0,45.0
2,1240.0,1330.0,16.0,45.0
3,1240.0,1330.0,16.0,45.0
4,1240.0,1330.0,16.0,45.0
5,973.0,1171.0,10.0,18.0
6,1240.0,1330.0,16.0,45.0
7,1240.0,1330.0,16.0,45.0
8,1240.0,1330.0,16.0,45.0
9,1240.0,1330.0,16.0,45.0
10,1240.0,1330.0,16.0,45.0
11,1240.0,1330.0,16.0,45.0
12,1220.0,1320.0,15.0,45.0
13,1220.0,1320.0,15.0,45.0
14,1240.0,1330.0,16.0,45.0
15,973.0,1171.0,10.0,18.0
16,1240.0,1330.0,16.0,45.0
17,1240.0,1330.0,16.0,45.0
18,1240.0,1330.0,16.0,45.0
19,1220.0,1320.0,15.0,45.0
20,1220.0,1320.0,15.0,45.0
21,1230.0,1330.0,16.0,46.0
22,1220.0,1320.0,15.0,45.0
23,1240.0,1330.0,16.0,45.0
24,1220.0,1320.0,15.0,45.0
25,1240.0,1330.0,16.0,45.0
26,1240.0,1330.0,16.0,45.0
27,1230.0,1330.0,16.0,46.0
28,973.0,1171.0,10.0,18.0
29,1230.0,1330.0,16.0,46.0
30,1240.0,1330.0,16.0,45.0
31,1230.0,1330.0,16.0,46.0
32,1220.0,1320.0,15.0,45.0
33,1230.0,1330.0,16.0,46.0
34,1130.0,1252.0,12.0,32.0
35,1674.0,1766.0,8.0,28.0
36,1674.0,1766.0,8.0,28.0
37,1674.0,1766.0,8.0,28.0
38,1674.0,1766.0,8.0,28.0
39,1674.0,1766.0,8.0,28.0
40,1674.0,1766.0,8.0,28.0
41,1674.0,1766.0,8.0,28.0
42,1674.0,1766.0,8.0,28.0
43,1674.0,1766.0,8.0,28.0
44,1674.0,1766.0,8.0,28.0
45,1610.0,1750.0,7.0,25.0
46,1610.0,1750.0,7.0,25.0
47,1610.0,1750.0,7.0,25.0
48,1610.0,1750.0,7.0,25.0
49,1674.0,1766.0,8.0,28.0
50,1610.0,1750.0,7.0,25.0
51,1674.0,1766.0,8.0,28.0
52,1674.0,1766.0,8.0,28.0
53,1610.0,1750.0,7.0,25.0
54,1610.0,1750.0,7.0,25.0
55,1610.0,1750.0,7.0,25.0
56,1610.0,1750.0,7.0,25.0
57,1674.0,1766.0,8.0,28.0
58,1610.0,1750.0,7.0,25.0
59,1674.0,1766.0,8.0,28.0
60,1610.0,1750.0,7.0,25.0
61,1674.0,1766.0,8.0,28.0
62,1610.0,1750.0,7.0,25.0
63,1674.0,1766.0,8.0,28.0
64,1674.0,1766.0,8.0,28.0
65,1674.0,1766.0,8.0,28.0
66,1610.0,1750.0,7.0,25.0
67,1674.0,1766.0,8.0,28.0
68,1674.0,1766.0,8.0,28.0
69,1674.0,1766.0,8.0,28.0
70,1674.0,1766.0,8.0,28.0
71,1570.0,1923.0,13.0,0.0
72,1610.0,1800.0,12.0,26.0
73,1463.0,1681.0,14.0,52.0
74,1458.0,1761.0,11.5,53.0
75,1465.0,1662.0,14.5,52.0
76,1463.0,1671.0,14.0,52.0
77,1464.0,1683.0,13.0,52.0
78,1461.0,1679.0,14.0,52.0
79,1077.0,1196.0,16.0,45.0
80,1037.0,1183.0,14.0,46.0
