formula,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,neg_inflation
Mn3.1Zn0.5Sn0.4N,3.1,0,0,0,0,0,0,0.4,0.5,1,0,0,1,2,1,313,371,58,-25.3
Mn3.2Zn0.5Sn0.3N,3.2,0,0,0,0,0,0,0.3,0.5,1,0,0,1,2,1,293,345,53,-33.8
Mn3.3Zn0.4Sn0.3N,3.3,0,0,0,0,0,0,0.3,0.4,1,0,0,1,2,1,261,306,45,-30.7
Mn3.1Zn0.4Sn0.5N,3.1,0,0,0,0,0,0,0.5,0.4,1,0,0,1,2,1,391,439,48,-7.93
Mn3.1Zn0.6Sn0.3N,3.1,0,0,0,0,0,0,0.3,0.6,1,0,0,1,2,1,330,381,51,-29.7
Mn3.2Zn0.4Sn0.4N,3.2,0,0,0,0,0,0,0.4,0.4,1,0,0,1,2,1,357,413,56,-9.91
Mn3.2Zn0.6Sn0.2N,3.2,0,0,0,0,0,0,0.2,0.6,1,0,0,1,2,1,238,309,71,-19.6
Mn3.3Zn0.5Sn0.2N,3.3,0,0,0,0,0,0,0.2,0.5,1,0,0,1,2,1,206,273,67,-22.6
Mn3.3Zn0.6Sn0.1N,3.3,0,0,0,0,0,0,0.1,0.6,1,0,0,1,2,1,175,217,42,-29
Mn2.95Cu0.1Zn0.4N,2.95,0.1,0,0,0,0,0,0,0.4,1,0,0,1,2,1,330,365,35,-34
Mn3(Cu0.7Sn0.3)N,3,0.7,0,0,0,0,0,0.3,0,1,0,0,1,2,1,193.34,218.71,25.36,-31.75
Mn3.25Zn0.5Sn0.25N,3.25,0,0,0,0,0,0,0.25,0.5,1,0,0,1,2,1,299.02,344.12,45.1,-31.13
Mn3.27Zn0.45Sn0.28N,3.27,0,0,0,0,0,0,0.28,0.4,1,0,0,1,2,1,265,325,60,-30.3
Mn3Cu0.6Si0.05Ge0.35N,3,0.6,0,0.35,0,0,0.05,0,0,1,0,0,1,3,1,216.01,267.97,51.96,-30
Mn3Cu0.6Si0.05Ge0.35N,3,0.6,0,0.35,0,0,0.05,0,0,1,0,0,1,3,1,210,270,60,-26.63
Mn3Cu0.95Sn0.05N,3,0.95,0,0,0,0,0,0.05,0,1,0,0,1,2,1,105.56,113.33,7.78,-25.47
Mn3Ag0.94Nb0.06N,3,0,0,0,0.06,0,0,0,0,1,0.94,0,1,2,1,266.3,284.9,18.6,-24
Mn3Ga0.7Sn0.3N,3,0,0.7,0,0,0,0,0.3,0,1,0,0,1,2,1,335,396,61,-24
Mn3Cu0.9Ge0.1N,3,0.9,0,0.1,0,0,0,0,0,1,0,0,1,2,1,85.6,104.8,19.2,-22.82
Mn3AgN,3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,270.1,288.7,18.6,-22.43
Mn3Ga0.9Ge0.1N,3,0,0.9,0.1,0,0,0,0,0,1,0,0,1,2,1,276,334,58,-22.1
Mn3Ag0.92Nb0.08N,3,0,0,0,0.08,0,0,0,0,1,0.92,0,1,2,1,266.3,287.3,21,-21.5
Mn3Cu0.6Si0.11Ge0.29N,3,0.6,0,0.29,0,0,0.11,0,0,1,0,0,1,3,1,152,228,76,-21.1
Mn3Ga0.8Ge0.2N,3,0,0.8,0.2,0,0,0,0,0,1,0,0,1,2,1,351,411,60,-20
Mn3Cu0.6Nb0.1Ge0.4N,3,0.6,0,0.3,0.1,0,0,0,0,1,0,0,1,3,1,199,256,57,-19.93
Mn3(Cu0.6Sn0.4)N,3,0.6,0,0,0,0,0,0.4,0,1,0,0,1,2,1,238.23,274.18,35.95,-18.67
Mn3Cu0.5Sn0.4N,3,0.5,0,0,0,0,0,0.4,0,1,0,0,1,2,1,298.04,337.25,39.21,-18.4
Mn3Cu0.6Si0.12Ge0.28N,3,0.6,0,0.28,0,0,0.12,0,0,1,0,0,1,3,1,140,223,83,-18.2
Mn3Ag0.9Nb0.1N,3,0,0,0,0.1,0,0,0,0,1,0.9,0,1,2,1,260.1,284.8,24.7,-18.2
Mn3Cu0.6Ge0.4N,3,0.6,0,0.4,0,0,0,0,0,1,0,0,1,2,1,218.53,292.65,74.12,-18
Mn3Ga0.7Ge0.3N,3,0,0.7,0.3,0,0,0,0,0,1,0,0,1,2,1,370,438,68,-18
Mn3Cu0.53Ge0.47N,3,0.53,0,0.47,0,0,0,0,0,1,0,0,1,2,1,267,342,75,-16
Mn3Cu0.6Si0.13Ge0.27N,3,0.6,0,0.27,0,0,0.13,0,0,1,0,0,1,3,1,128,214,86,-15.6
Mn3(Cu0.5Ni0.1Ge0.4)N,3,0.5,0,0.4,0,0.1,0,0,0,1,0,0,1,3,1,209.98,280.04,70.06,-15.35
Mn3Ga0.75Si0.25N,3,0,0.75,0,0,0,0.25,0,0,1,0,0,1,2,1,272,420,138,-14
Mn3Cu0.6Si0.14Ge0.26N,3,0.6,0,0.26,0,0,0.14,0,0,1,0,0,1,3,1,115,206,91,-12.4
Mn3Cu0.5Ge0.5N,3,0.5,0,0.5,0,0,0,0,0,1,0,0,1,2,1,280,365,85,-12
Mn3Ga0.5Sn0.5N,3,0,0.5,0,0,0,0,0.5,0,1,0,0,1,2,1,407,458,51,-12
Mn3Cu0.6Si0.15Ge0.25N,3,0.6,0,0.25,0,0,0.15,0,0,1,0,0,1,3,1,95,195,100,-11.6
Mn3Cu0.6Si0.15Ge0.25N,3,0.6,0,0.25,0,0,0.15,0,0,1,0,0,1,3,1,90,190,100,-11.55
Mn3Cu0.6Nb0.15Ge0.25N,3,0.6,0,0.25,0.15,0,0,0,0,1,0,0,1,3,1,128,221,93,-11.3
Mn3(Cu0.3Ni0.3Ge0.4)N,3,0.3,0,0.4,0,0.3,0,0,0,1,0,0,1,3,1,155.18,224.85,69.66,-10.02
Mn3Cu0.6Si0.15Ge0.25N,3,0.6,0,0.25,0,0,0.15,0,0,1,0,0,1,3,1,79.41,199.67,120.26,-9.88
Mn3(Cu0.45Ni0.15Ge0.4)N,3,0.45,0,0.4,0,0.15,0,0,0,1,0,0,1,3,1,184.93,265.16,80.23,-9.76
Mn3(Cu0.35Ni0.25Ge0.4)N,3,0.35,0,0.4,0,0.25,0,0,0,1,0,0,1,3,1,164.97,244.81,79.84,-8.74
Mn3Cu0.5Ge0.5N,3,0.5,0,0.5,0,0,0,0,0,1,0,0,1,2,1,281.15,361.66,80.51,-8.15
Mn3Ga0.4Sn0.6N,3,0,0.4,0,0,0,0,0.6,0,1,0,0,1,2,1,451,489,38,-6.5
Mn3Cu0.6Nb0.2Ge0.2N,3,0.6,0,0.2,0.2,0,0,0,0,1,0,0,1,3,1,77,172,95,-5.71
Mn3Cu0.45Ge0.55N,3,0.45,0,0.55,0,0,0,0,0,1,0,0,1,2,1,315.65,379.55,63.9,-5.13
Mn3Cu0.5Si0.1Ge0.4N,3,0.5,0,0.4,0,0,0.1,0,0,1,0,0,1,3,1,185,257,72,-3.2
Mn3Cu0.5Si0.15Ge0.35N,3,0.5,0,0.35,0,0,0.15,0,0,1,0,0,1,3,1,143,231,88,-2.6
