month,passengers
January,112
February,118
March,132
April,129
May,121
June,135
July,148
August,148
September,136
October,119
November,104
December,118
January,115
February,126
March,141
April,135
May,125
June,149
July,170
August,170
September,158
October,133
November,114
December,140
January,145
February,150
March,178
April,163
May,172
June,178
July,199
August,199
September,184
October,162
November,146
December,166
January,171
February,180
March,193
April,181
May,183
June,218
July,230
August,242
September,209
October,191
November,172
December,194
January,196
February,196
March,236
April,235
May,229
June,243
July,264
August,272
September,237
October,211
November,180
December,201
January,204
February,188
March,235
April,227
May,234
June,264
July,302
August,293
September,259
October,229
November,203
December,229
January,242
February,233
March,267
April,269
May,270
June,315
July,364
August,347
September,312
October,274
November,237
December,278
January,284
February,277
March,317
April,313
May,318
June,374
July,413
August,405
September,355
October,306
November,271
December,306
January,315
February,301
March,356
April,348
May,355
June,422
July,465
August,467
September,404
October,347
November,305
December,336
January,340
February,318
March,362
April,348
May,363
June,435
July,491
August,505
September,404
October,359
November,310
December,337
January,360
February,342
March,406
April,396
May,420
June,472
July,548
August,559
September,463
October,407
November,362
December,405
January,417
February,391
March,419
April,461
May,472
June,535
July,622
August,606
September,508
October,461
November,390
December,432
